,category,word,year
776,loyalty+,nation,1960
777,loyalty+,nation,1970
778,loyalty+,nation,1980
779,loyalty+,nation,1990
780,loyalty+,family,1800
781,loyalty+,family,1810
782,loyalty+,family,1820
783,loyalty+,family,1830
784,loyalty+,family,1840
785,loyalty+,family,1850
786,loyalty+,family,1860
787,loyalty+,family,1870
788,loyalty+,family,1880
789,loyalty+,family,1890
790,loyalty+,family,1900
791,loyalty+,family,1910
792,loyalty+,family,1920
793,loyalty+,family,1930
794,loyalty+,family,1940
795,loyalty+,family,1950
796,loyalty+,family,1960
797,loyalty+,family,1970
798,loyalty+,family,1980
799,loyalty+,family,1990
800,loyalty+,families,1800
801,loyalty+,families,1810
802,loyalty+,families,1820
803,loyalty+,families,1830
804,loyalty+,families,1840
805,loyalty+,families,1850
806,loyalty+,families,1860
807,loyalty+,families,1870
808,loyalty+,families,1880
809,loyalty+,families,1890
810,loyalty+,families,1900
811,loyalty+,families,1910
812,loyalty+,families,1920
813,loyalty+,families,1930
814,loyalty+,families,1940
815,loyalty+,families,1950
816,loyalty+,families,1960
817,loyalty+,families,1970
818,loyalty+,families,1980
819,loyalty+,families,1990
820,loyalty+,group,1800
821,loyalty+,group,1810
822,loyalty+,group,1820
823,loyalty+,group,1830
824,loyalty+,group,1840
825,loyalty+,group,1850
826,loyalty+,group,1860
827,loyalty+,group,1870
828,loyalty+,group,1880
829,loyalty+,group,1890
830,loyalty+,group,1900
831,loyalty+,group,1910
832,loyalty+,group,1920
833,loyalty+,group,1930
834,loyalty+,group,1940
835,loyalty+,group,1950
836,loyalty+,group,1960
837,loyalty+,group,1970
838,loyalty+,group,1980
839,loyalty+,group,1990
840,authority+,loyal,1800
841,authority+,loyal,1810
842,authority+,loyal,1820
843,authority+,loyal,1830
844,authority+,loyal,1840
845,authority+,loyal,1850
846,authority+,loyal,1860
847,authority+,loyal,1870
848,authority+,loyal,1880
849,authority+,loyal,1890
850,authority+,loyal,1900
851,authority+,loyal,1910
852,authority+,loyal,1920
853,authority+,loyal,1930
854,authority+,loyal,1940
855,authority+,loyal,1950
856,authority+,loyal,1960
857,authority+,loyal,1970
858,authority+,loyal,1980
859,authority+,loyal,1990
860,loyalty+,patriot,1800
861,loyalty+,patriot,1810
862,loyalty+,patriot,1820
863,loyalty+,patriot,1830
864,loyalty+,patriot,1840
865,loyalty+,patriot,1850
866,loyalty+,patriot,1860
867,loyalty+,patriot,1870
868,loyalty+,patriot,1880
869,loyalty+,patriot,1890
870,loyalty+,patriot,1900
871,loyalty+,patriot,1910
872,loyalty+,patriot,1920
873,loyalty+,patriot,1930
874,loyalty+,patriot,1940
875,loyalty+,patriot,1950
876,loyalty+,patriot,1960
877,loyalty+,patriot,1970
878,loyalty+,patriot,1980
879,loyalty+,patriot,1990
880,loyalty+,community,1800
881,loyalty+,community,1810
882,loyalty+,community,1820
883,loyalty+,community,1830
884,loyalty+,community,1840
885,loyalty+,community,1850
886,loyalty+,community,1860
887,loyalty+,community,1870
888,loyalty+,community,1880
889,loyalty+,community,1890
890,loyalty+,community,1900
891,loyalty+,community,1910
892,loyalty+,community,1920
893,loyalty+,community,1930
894,loyalty+,community,1940
895,loyalty+,community,1950
896,loyalty+,community,1960
897,loyalty+,community,1970
